"Unterseriennummer",0,""
"Probennummer",11," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
106.96,14.3119,1.88341,4.21257
107.18,14.8401,1.90555,4.19043
107.38,15.249,1.92548,4.1705
107.6,15.7431,1.94751,4.14847
107.74,16.0838,1.9615,4.13448
107.8,16.2372,1.9675,4.12848
108.02,16.6461,1.98941,4.10657
108.2,17.0209,2.00736,4.08862
108.24,16.9528,2.01036,4.08562
108.46,15.9305,2.0118,4.08418
108.68,15.4193,2.01174,4.08424
108.88,15.0786,2.01168,4.0843
109.1,14.8401,2.01168,4.0843
109.3,14.5845,2.01168,4.0843
109.52,14.3971,2.01168,4.0843
109.74,14.2778,2.01168,4.0843
109.96,14.0904,2.01168,4.0843
110.18,13.9882,2.01168,4.0843
110.38,13.92,2.01168,4.0843
110.6,13.7496,2.01168,4.0843
110.8,13.6644,2.01168,4.0843
111.02,13.5622,2.01168,4.0843
111.24,13.477,2.01168,4.0843
111.46,13.4089,2.01168,4.0843
111.68,13.3407,2.01168,4.0843
111.88,13.2726,2.01168,4.0843
112.1,13.1874,2.01168,4.0843
112.3,13.1192,2.01168,4.0843
112.52,13.1022,2.01168,4.0843
112.74,13,2.01168,4.0843
112.96,12.9318,2.01168,4.0843
113.18,12.8637,2.01168,4.0843
113.38,12.8466,2.01168,4.0843
113.6,12.7614,2.01168,4.0843
113.8,12.7614,2.01168,4.0843
114.02,12.6933,2.01168,4.0843
114.24,12.6592,2.01168,4.0843
114.46,12.6251,2.01168,4.0843
114.68,12.591,2.01168,4.0843
114.88,12.557,2.01168,4.0843
115.1,12.5229,2.01168,4.0843
115.3,12.4888,2.01168,4.0843
115.52,12.4547,2.01168,4.0843
115.74,12.4377,2.01168,4.0843
115.96,12.4036,2.01168,4.0843
116.18,12.3184,2.01168,4.0843
116.38,12.3014,2.01168,4.0843
116.6,12.2162,2.01168,4.0843
116.8,12.2844,2.01168,4.0843
117.02,12.2332,2.01168,4.0843
117.24,12.1821,2.01168,4.0843
117.46,12.1821,2.01168,4.0843
117.68,12.114,2.01168,4.0843
117.88,12.1481,2.01168,4.0843
118.1,12.0799,2.01168,4.0843
118.3,12.0799,2.01168,4.0843
118.52,12.0118,2.01168,4.0843
118.74,11.9777,2.01168,4.0843
118.96,11.9777,2.01168,4.0843
119.18,12.0118,2.01168,4.0843
119.38,11.9436,2.01168,4.0843
119.6,11.9436,2.01168,4.0843
119.8,11.9095,2.01168,4.0843
120.02,11.8925,2.01168,4.0843
120.24,11.8584,2.01168,4.0843
120.46,11.8925,2.01168,4.0843
120.68,11.8073,2.01168,4.0843
120.88,11.7562,2.01168,4.0843
121.1,11.7903,2.01168,4.0843
121.3,11.7732,2.01168,4.0843
